T,train,train,train,test,test,test
U,100,100,100,100,100,100
i,0,1,2,0,1,2
Bound,2280032.1632063366,2117354.1357748983,2130305.4764160686,,,
Gap,0.0,2.6391123493604022e-15,0.0,,,
NodeCount,0.0,0.0,0.0,,,
NumConstrs,506887,506887,506887,,,
NumNZs,3249587,3256044,3254035,,,
NumVars,815939,815939,815939,,,
Runtime,6.826109170913696,6.812028884887695,6.889322996139526,,,
SolCount,1,1,1,,,
TimeLimit,21600,21600,21600,,,
alpha,,,,0.9999,0.9999,0.9999
cap_reserve,76577.4,76577.4,76577.4,76577.4,76577.4,76577.4
cap_variable,161058.1,127454.4,121673.4,161058.1,127454.4,121673.4
cost_capital,2208279.6,2005836.0,2011054.8,2208279.6,2005836.0,2011054.8
cost_capital-new-conventional,0.0,0.0,0.0,0.0,0.0,0.0
cost_capital-new-renewable,1512895.5,1291871.4,1322493.0,1512895.5,1291871.4,1322493.0
cost_capital-old,695384.1,713964.6,688561.8,695384.1,713964.6,688561.8
cost_operating,71752.6,111518.1,119250.7,42606.39173653289,89178.10047958413,111942.78166114609
cost_operating_99,,,,40207.46312447434,86576.69574553566,109268.9071852834
cost_shedding,0.0,0.0,0.0,0.0,0.0,0.0
cost_shedding_99,,,,0.0,0.0,0.0
cost_test,,,,42606.39173653289,89178.10047958413,111942.78166114609
cost_test_99,,,,40207.463124474336,86576.69574553568,109268.90718528342
cost_test_99_err,,,,11388.139990679985,17772.230540912187,20063.522469046544
cost_test_err,,,,12298.849563129284,18449.07926542902,20690.279473391536
lolp_E,0.004166666666666667,0.004166666666666667,0.004166666666666667,0.0,0.0,0.0
lolp_N,,,,0.0,0.0,0.0
objective,2280032.16,2117354.14,2130305.48,2250885.991736533,2095014.1004795842,2122997.581661146
objective_99,,,,2248487.0631244746,2092412.6957455357,2120323.7071852833
scenarios_E,240,240,240,384.0,384.0,384.0
scenarios_N,240,240,240,384.0,384.0,384.0
shed_E,1.960989606709821,9.158333333341337,76.96250000000207,0.0,0.0,0.0
shed_E_err,,,,,,
shed_N,0.0,0.0,0.0,0.0,0.0,0.0
shed_N_99,,,,0.0,0.0,0.0
shed_N_99_err,,,,0.0,0.0,0.0
shed_N_err,,,,0.0,0.0,0.0
solved,True,True,True,,,
time_train,79.51624393463135,83.85195016860962,82.73637294769287,,,
